data_referencia,interrupcoes,precipitacao_total_mm
2017-01-01,116,0.0
2017-01-08,1573,21.0
2017-01-15,2023,34.6
2017-01-22,1789,20.8
2017-01-29,1576,67.4
2017-02-05,1734,39.6
2017-02-12,1767,122.0
2017-02-19,1306,3.2
2017-02-26,1401,74.19999999999999
2017-03-05,1217,24.2
2017-03-12,1006,0.0
2017-03-19,1517,34.400000000000006
2017-03-26,1160,45.8
2017-04-02,1562,96.0
2017-04-09,1152,4.2
2017-04-16,834,0.0
2017-04-23,853,0.4
2017-04-30,1113,2.0
2017-05-07,841,2.0
2017-05-14,931,0.0
2017-05-21,1282,61.4
2017-05-28,811,0.8
2017-06-04,795,0.0
2017-06-11,904,0.0
2017-06-18,874,0.0
2017-06-25,908,0.0
2017-07-02,1065,0.0
2017-07-09,1017,0.0
2017-07-16,1026,0.0
2017-07-23,952,0.0
2017-07-30,1209,0.0
2017-08-06,1034,0.0
2017-08-13,883,0.0
2017-08-20,1083,0.0
2017-08-27,926,0.0
2017-09-03,1004,0.0
2017-09-10,880,0.0
2017-09-17,854,0.0
2017-09-24,846,0.0
2017-10-01,2385,10.0
2017-10-08,1671,11.6
2017-10-15,1187,0.0
2017-10-22,1267,0.0
2017-10-29,1328,15.6
2017-11-05,1918,34.8
2017-11-12,1730,139.0
2017-11-19,1568,25.4
2017-11-26,1653,69.8
2017-12-03,1831,82.60000000000001
2017-12-10,1324,51.4
2017-12-17,1507,131.2
2017-12-24,1801,28.400000000000002
2017-12-31,1983,38.2
2018-01-07,1867,60.0
2018-01-14,1804,31.6
2018-01-21,1415,0.2
2018-01-28,1609,57.00000000000001
2018-02-04,1688,104.60000000000001
2018-02-11,1355,80.0
2018-02-18,1060,0.4
2018-02-25,1941,66.4
2018-03-04,1510,57.0
2018-03-11,1719,97.8
2018-03-18,1552,32.8
2018-03-25,1497,53.599999999999994
2018-04-01,993,3.8000000000000003
2018-04-08,1576,109.4
2018-04-15,1256,13.4
2018-04-22,1168,51.400000000000006
2018-04-29,952,38.8
2018-05-06,798,0.0
2018-05-13,831,0.0
2018-05-20,1309,9.6
2018-05-27,889,0.0
2018-06-03,822,0.0
2018-06-10,927,0.0
2018-06-17,832,0.0
2018-06-24,741,0.0
2018-07-01,880,0.0
2018-07-08,862,0.0
2018-07-15,883,0.0
2018-07-22,932,0.0
2018-07-29,960,0.0
2018-08-05,1056,0.0
2018-08-12,1160,2.2
2018-08-19,1301,16.2
2018-08-26,976,4.6
2018-09-02,1007,0.0
2018-09-09,812,0.0
2018-09-16,918,1.0
2018-09-23,1824,38.6
2018-09-30,959,0.0
2018-10-07,1213,13.4
2018-10-14,1107,4.8
2018-10-21,1671,123.8
2018-10-28,1776,71.8
2018-11-04,2001,108.2
2018-11-11,1387,84.2
2018-11-18,1575,110.39999999999999
2018-11-25,1303,55.2
2018-12-02,1260,2.8
2018-12-09,1532,89.0
2018-12-16,1148,0.4
2018-12-23,1668,34.4
2018-12-30,1944,40.2
2019-01-06,1572,35.4
2019-01-13,1588,18.8
2019-01-20,1294,7.4
2019-01-27,1495,16.0
2019-02-03,1250,0.0
2019-02-10,2325,68.4
2019-02-17,1458,33.6
2019-02-24,1594,34.4
2019-03-03,1454,75.4
2019-03-10,1313,44.6
2019-03-17,1473,21.6
2019-03-24,1503,56.0
2019-03-31,1089,82.6
2019-04-07,1237,22.6
2019-04-14,1453,164.20000000000002
2019-04-21,1155,114.2
2019-04-28,1353,18.4
2019-05-05,1063,67.0
2019-05-12,827,0.0
2019-05-19,953,1.4
2019-05-26,936,0.0
2019-06-02,1079,0.0
2019-06-09,963,8.0
2019-06-16,910,0.0
2019-06-23,936,0.0
2019-06-30,839,0.0
2019-07-07,993,0.0
2019-07-14,922,0.0
2019-07-21,990,0.0
2019-07-28,962,0.0
2019-08-04,910,0.0
2019-08-11,1279,0.0
2019-08-18,1064,0.0
2019-08-25,960,0.0
2019-09-01,987,0.0
2019-09-08,920,0.0
2019-09-15,952,0.0
2019-09-22,1134,0.0
2019-09-29,2306,10.200000000000001
2019-10-06,1327,0.8
2019-10-13,1608,4.0
2019-10-20,1035,0.0
2019-10-27,2204,11.6
2019-11-03,1454,12.4
2019-11-10,2738,36.2
2019-11-17,1702,66.60000000000001
2019-11-24,2364,66.8
2019-12-01,2169,37.4
2019-12-08,2273,128.2
2019-12-15,2589,91.0
2019-12-22,1835,23.4
2019-12-29,2661,15.4
2020-01-05,1800,117.2
2020-01-12,1906,16.8
2020-01-19,1646,1.6
2020-01-26,2463,170.2
2020-02-02,1599,13.6
2020-02-09,1576,111.4
2020-02-16,1564,16.4
2020-02-23,1347,27.2
2020-03-01,1420,42.0
2020-03-08,1439,94.60000000000001
2020-03-15,1052,20.4
2020-03-22,1417,62.6
2020-03-29,1333,102.4
2020-04-05,1084,6.199999999999999
2020-04-12,1314,50.39999999999999
2020-04-19,1271,51.2
2020-04-26,1189,72.00000000000001
2020-05-03,999,0.0
2020-05-10,977,0.0
2020-05-17,1526,29.0
2020-05-24,1081,0.0
2020-05-31,1272,0.2
2020-06-07,1013,0.0
2020-06-14,1022,0.0
2020-06-21,1380,0.0
2020-06-28,1156,0.0
2020-07-05,1183,0.0
2020-07-12,1311,0.0
2020-07-19,1313,0.0
2020-07-26,1054,0.0
2020-08-02,1165,0.0
2020-08-09,1031,0.0
2020-08-16,1023,0.0
2020-08-23,1118,0.0
2020-08-30,954,0.0
2020-09-06,972,0.0
2020-09-13,840,0.0
2020-09-20,1083,0.0
2020-09-27,2503,29.799999999999997
2020-10-04,1302,0.0
2020-10-11,2159,0.0
2020-10-18,2030,46.6
2020-10-25,2688,66.8
2020-11-01,1819,63.4
2020-11-08,1646,91.0
2020-11-15,1724,50.2
2020-11-22,1660,76.0
2020-11-29,1410,1.2
2020-12-06,2179,1.8
2020-12-13,2456,43.0
2020-12-20,1268,8.599999999999998
2020-12-27,1872,101.2
2021-01-03,2090,39.800000000000004
2021-01-10,1965,60.2
2021-01-17,1783,29.200000000000003
2021-01-24,1204,0.0
2021-01-31,2183,132.4
2021-02-07,2810,160.4
2021-02-14,2404,122.6
2021-02-21,2488,146.2
2021-02-28,2347,110.2
2021-03-07,1807,5.0
2021-03-14,2278,126.0
2021-03-21,1743,29.800000000000004
2021-03-28,1339,0.0
2021-04-04,1845,41.6
2021-04-11,1515,18.0
2021-04-18,1487,18.0
2021-04-25,1613,21.2
2021-05-02,1342,23.0
2021-05-09,1430,4.0
2021-05-16,1259,0.0
2021-05-23,1472,0.0
2021-05-30,1460,0.0
2021-06-06,1349,0.0
2021-06-13,1352,0.0
2021-06-20,2243,29.6
2021-06-27,1397,0.0
2021-07-04,1455,0.0
2021-07-11,1363,0.0
2021-07-18,1620,0.0
2021-07-25,1354,0.0
2021-08-01,1294,0.0
2021-08-08,1265,0.0
2021-08-15,1315,0.0
2021-08-22,1572,0.0
2021-08-29,1451,0.0
2021-09-05,1681,2.8000000000000003
2021-09-12,1508,0.0
2021-09-19,1413,0.0
2021-09-26,2411,5.8
2021-10-03,2075,14.6
2021-10-10,1849,57.4
2021-10-17,2655,49.800000000000004
2021-10-24,2748,18.2
2021-10-31,2082,24.6
2021-11-07,2072,40.400000000000006
2021-11-14,2386,128.20000000000002
2021-11-21,2222,91.4
2021-11-28,4023,31.8
2021-12-05,3230,162.2
2021-12-12,2752,59.8
2021-12-19,2486,109.6
2021-12-26,2746,68.6
2022-01-02,1921,70.4
2022-01-09,2069,64.6
2022-01-16,2320,28.400000000000002
2022-01-23,1876,7.0
2022-01-30,1992,3.2
2022-02-06,2165,75.8
2022-02-13,2066,34.2
2022-02-20,2316,98.6
2022-02-27,2126,28.0
2022-03-06,2711,55.2
2022-03-13,2176,27.0
2022-03-20,1903,39.400000000000006
2022-03-27,1827,0.0
2022-04-03,1562,0.0
2022-04-10,1582,1.0
2022-04-17,2058,21.0
2022-04-24,1596,1.4
2022-05-01,1538,0.0
2022-05-08,1703,14.6
2022-05-15,1406,0.0
2022-05-22,2097,0.0
2022-05-29,1661,0.0
2022-06-05,1530,0.0
2022-06-12,1539,0.0
2022-06-19,1535,0.0
2022-06-26,1397,0.0
2022-07-03,1495,0.0
2022-07-10,1362,0.0
2022-07-17,1524,0.0
2022-07-24,1647,0.0
2022-07-31,1639,0.0
2022-08-07,1740,0.0
2022-08-14,1651,0.0
2022-08-21,1625,0.0
2022-08-28,1605,0.0
2022-09-04,1773,0.0
2022-09-11,1444,0.0
2022-09-18,3011,6.4
2022-09-25,2958,34.0
2022-10-02,2075,0.0
2022-10-09,2082,0.2
2022-10-16,2247,0.0
2022-10-23,2041,1.8
2022-10-30,2107,19.400000000000002
2022-11-06,3191,70.4
2022-11-13,4107,100.2
2022-11-20,4334,173.4
2022-11-27,2602,80.0
2022-12-04,2647,54.2
2022-12-11,2830,99.0
2022-12-18,2800,64.2
2022-12-25,2616,58.8
2023-01-01,2195,65.6
2023-01-08,1817,34.6
2023-01-15,2650,90.60000000000001
2023-01-22,2440,6.2
2023-01-29,2324,58.2
2023-02-05,2211,13.6
2023-02-12,2105,12.2
2023-02-19,1837,9.600000000000001
2023-02-26,2377,20.6
2023-03-05,2381,18.8
2023-03-12,2042,44.8
2023-03-19,1880,45.60000000000001
2023-03-26,1763,26.0
2023-04-02,1578,1.4
2023-04-09,1909,14.6
2023-04-16,2103,99.4
2023-04-23,1754,17.8
2023-04-30,1858,54.0
2023-05-07,1523,0.6000000000000001
2023-05-14,1438,1.2
2023-05-21,1308,0.0
2023-05-28,1444,0.0
2023-06-04,1389,0.0
2023-06-11,1332,0.0
2023-06-18,1821,2.1999999999999997
2023-06-25,1403,0.0
2023-07-02,1377,0.0
2023-07-09,1539,0.0
2023-07-16,1564,0.0
2023-07-23,1745,0.0
2023-07-30,1381,0.0
2023-08-06,1318,0.0
2023-08-13,1378,0.0
2023-08-20,2293,0.0
2023-08-27,2389,5.0
2023-09-03,2726,55.2
2023-09-10,1711,0.0
2023-09-17,1523,0.0
2023-09-24,1548,0.0
2023-10-01,2823,7.4
2023-10-08,3085,54.0
2023-10-15,2778,1.6
2023-10-22,3008,14.799999999999999
2023-10-29,2546,32.0
2023-11-05,3895,35.8
2023-11-12,1922,0.0
2023-11-19,2431,1.8000000000000003
2023-11-26,3167,68.39999999999999
2023-12-03,3041,38.6
2023-12-10,2177,6.800000000000001
2023-12-17,1800,2.4
2023-12-24,2511,61.4
2023-12-31,3246,38.6
2024-01-07,2601,169.2
2024-01-14,2443,61.4
2024-01-21,2258,10.0
2024-01-28,2209,61.800000000000004
2024-02-04,2038,20.2
2024-02-11,2579,54.400000000000006
2024-02-18,2250,26.799999999999997
2024-02-25,2102,21.4
2024-03-03,2026,1.4
2024-03-10,1940,31.4
2024-03-17,2126,15.4
2024-03-24,2006,29.799999999999997
2024-03-31,1955,39.4
2024-04-07,1994,88.60000000000001
2024-04-14,1726,24.6
2024-04-21,1406,0.0
2024-04-28,1585,17.200000000000003
2024-05-05,1332,0.0
2024-05-12,1332,0.0
2024-05-19,1296,0.0
2024-05-26,1300,0.0
2024-06-02,1401,0.0
2024-06-09,1316,0.0
2024-06-16,1266,0.0
2024-06-23,1249,0.0
2024-06-30,1417,0.0
2024-07-07,1245,0.0
2024-07-14,1305,0.0
2024-07-21,1296,0.0
2024-07-28,1400,0.0
2024-08-04,1454,0.0
2024-08-11,1528,0.0
2024-08-18,1801,0.0
2024-08-25,1569,0.0
2024-09-01,1518,0.0
2024-09-08,1729,0.0
2024-09-15,1499,0.0
2024-09-22,1601,0.0
2024-09-29,1700,0.0
2024-10-06,1752,0.0
2024-10-13,4914,7.6
2024-10-20,3243,165.2
2024-10-27,3071,87.2
2024-11-03,1980,9.2
2024-11-10,2616,67.2
2024-11-17,2284,91.8
2024-11-24,3135,78.6
2024-12-01,2175,4.2
2024-12-08,2298,53.4
2024-12-15,2810,33.8
2024-12-22,2837,39.0
2024-12-29,2735,86.4
2025-01-05,2460,3.6
2025-01-12,2481,75.2
2025-01-19,2411,73.6
2025-01-26,3644,38.2
2025-02-02,2637,39.4
2025-02-09,1839,4.800000000000001
2025-02-16,2191,59.4
2025-02-23,1772,2.6
2025-03-02,2062,1.6
2025-03-09,1731,0.0
2025-03-16,3015,72.6
2025-03-23,2425,40.6
2025-03-30,2094,7.6000000000000005
2025-04-06,1655,1.2000000000000002
2025-04-13,2043,22.2
2025-04-20,2103,47.6
2025-04-27,2024,6.199999999999999
2025-05-04,1960,1.4000000000000001
2025-05-11,1399,0.0
2025-05-18,1651,0.0
2025-05-25,1759,1.2
2025-06-01,1414,0.0
